id,location.city.name,location.city.normalized_name,location.district.name,location.region.name,location.region.normalized_name,title,price,currency,floor_select,furniture,builttype,m,rooms,rent
760707670,Sanok,sanok,,Podkarpackie,podkarpackie,Wynajmę mieszkanie 50m Sanok,1200.0,PLN,6,yes,wolnostojacy,50,two,1100
738240581,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 3 pokojowe w Rzeszowie,1600.0,PLN,6,yes,apartamentowiec,60,three,550
761083970,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"Mieszkanie, 2 pokoje, ul. Podwisłocze",1500.0,PLN,1,yes,blok,30,two,330
765647138,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,"48 m2 komfortowe, nowoczesne mieszkanie na osiedlu Zalesie,",1750.0,PLN,3,yes,blok,48,two,1
763396980,Jarosław,jaroslaw,,Podkarpackie,podkarpackie,Jarosław do wynajecia kawalerka na os. Dobrzańskiego.,1000.0,PLN,1,yes,blok,25,one,350
757570043,Dubiecko,dubiecko,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia Dubiecko,1200.0,PLN,3,yes,wolnostojacy,50,one,400
763384238,Głogów Małopolski,glogow-malopolski,,Podkarpackie,podkarpackie,Mieszkanie 2-pokojowe z balkonem w Głogowie Małopolskim osiedle Niwa,1500.0,PLN,2,yes,blok,35,two,200
760867404,Strzyżów,strzyzow,,Podkarpackie,podkarpackie,Mieszkanie 40 m2 STRZYŻÓW,900.0,PLN,3,no,blok,40,two,700
744125673,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,75 m2 na ul sikorskiego 45/C w Rzeszowie,2500.0,PLN,5,yes,blok,75,three,200
763337109,Dębica,debica,,Podkarpackie,podkarpackie,Mieszkanie do Wynajecia,1600.0,PLN,2,yes,blok,60,three,350
763363037,Mielec,mielec,,Podkarpackie,podkarpackie,Wunajme mieszkanie,1100.0,PLN,1,yes,blok,36,one,400
763359868,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Kawalerka ul. Warszawska Centrum Rzeszów,1750.0,PLN,1,yes,wolnostojacy,35,two,400
713923211,Padew Narodowa,padew-narodowa,,Podkarpackie,podkarpackie,mieszkanie Rzeszów do wynajęcia,1600.0,PLN,2,yes,blok,47,two,400
646332286,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Piękna Kielanówka mieszkanie wynajem!!!Od SIERPNIA,1400.0,PLN,4,yes,blok,32,two,400
683137235,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Nowe Jasne Na Wynajem + Garaż Podziemny (+Opcja Sprzątania),1750.0,PLN,1,yes,blok,33,two,480
746601101,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Mieszkanie 2 pokoje 38m2 ul Niecia Staromieście+ miejsce post. w gar.,1600.0,PLN,2,yes,blok,38,two,570
718790051,Tarnobrzeg,tarnobrzeg,,Podkarpackie,podkarpackie,Do wynajęcia mieszkanie 48m2. Po Remoncie;,1200.0,PLN,Poddasze,yes,blok,48,three,400
763317613,Rzeszów,rzeszow,,Podkarpackie,podkarpackie,Wynajmę mieszkanie lub dom w Rzeszowie lub w Krakowie,1500.0,PLN,3,yes,pozostale,55,three,400
763315948,Nowa Dęba,nowa-deba,,Podkarpackie,podkarpackie,Mieszkanie do wynajęcia w Nowej Dębie,800.0,PLN,2,yes,blok,58,two,500
